IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.127.73,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,9.88
8.218.204.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,9.78
47.242.7.162,2087,2087,true,HKG,Asia Pacific,Hong Kong,73,9.44
8.218.222.36,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,9.36
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,110,9.26
8.218.211.17,2082,2082,false,HKG,Asia Pacific,Hong Kong,108,9.05
47.243.91.58,2082,2082,false,HKG,Asia Pacific,Hong Kong,47,9.03
47.242.119.104,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,8.96
47.242.36.78,2082,2082,false,HKG,Asia Pacific,Hong Kong,65,8.92
8.218.204.128,2086,2086,false,HKG,Asia Pacific,Hong Kong,98,8.86
8.217.147.230,2082,2082,false,HKG,Asia Pacific,Hong Kong,48,8.86
8.217.149.28,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,8.49
47.242.125.241,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,8.41
47.243.173.187,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,8.40
8.210.65.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,8.20
47.76.98.98,8443,8443,true,HKG,Asia Pacific,Hong Kong,76,8.06
47.238.6.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,8.04
47.243.173.187,8880,8880,false,HKG,Asia Pacific,Hong Kong,76,8.02
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,76,7.95
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,7.92
47.242.36.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,7.91
47.242.59.216,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,7.78
47.76.26.26,2053,2053,true,HKG,Asia Pacific,Hong Kong,75,7.61
8.217.121.207,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,7.54
8.218.126.53,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,7.52
47.238.35.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,48,7.52
8.217.123.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,7.48
47.76.98.98,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,7.45
47.242.157.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,7.41
8.217.147.230,8880,8880,false,HKG,Asia Pacific,Hong Kong,108,7.40
8.218.181.189,80,80,false,HKG,Asia Pacific,Hong Kong,44,7.04
8.210.107.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,83,7.04
8.217.123.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,103,7.03
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,7.03
8.217.248.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,111,6.95
8.217.149.28,8880,8880,false,HKG,Asia Pacific,Hong Kong,83,6.86
47.242.36.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,76,6.79
47.242.42.153,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,6.76
8.210.65.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,6.68
47.242.36.78,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,6.66
8.217.250.5,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,6.59
47.242.7.162,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,6.48
8.218.201.73,2052,2052,false,HKG,Asia Pacific,Hong Kong,49,6.41
47.242.36.78,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,6.31
47.76.98.98,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,6.16
47.243.107.148,2082,2082,false,HKG,Asia Pacific,Hong Kong,87,6.00
47.243.107.148,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,5.97
47.76.33.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,5.96
47.243.183.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,47,5.95
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,102,5.95
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,5.87
8.210.89.245,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,5.77
8.218.1.163,8443,8443,true,HKG,Asia Pacific,Hong Kong,65,5.76
8.210.164.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,83,5.61
47.242.36.78,2052,2052,false,HKG,Asia Pacific,Hong Kong,109,5.58
8.217.145.40,80,80,false,HKG,Asia Pacific,Hong Kong,116,5.58
47.243.173.187,2095,2095,false,HKG,Asia Pacific,Hong Kong,44,5.56
47.242.202.230,80,80,false,HKG,Asia Pacific,Hong Kong,43,5.45
8.218.126.53,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,5.41
8.210.21.65,2082,2082,false,HKG,Asia Pacific,Hong Kong,77,5.31
8.217.147.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,76,5.29
8.218.1.163,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,5.18
8.217.121.207,2086,2086,false,HKG,Asia Pacific,Hong Kong,110,5.17
8.217.145.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,75,5.07
8.218.53.110,2052,2052,false,HKG,Asia Pacific,Hong Kong,74,5.07
47.243.234.9,80,80,false,HKG,Asia Pacific,Hong Kong,43,5.04
8.218.18.132,80,80,false,HKG,Asia Pacific,Hong Kong,106,5.02
8.218.126.53,2052,2052,false,HKG,Asia Pacific,Hong Kong,83,4.86
47.243.51.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,4.82
8.217.149.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,4.66
47.243.27.217,2082,2082,false,HKG,Asia Pacific,Hong Kong,76,4.64
47.243.173.187,2052,2052,false,HKG,Asia Pacific,Hong Kong,48,4.61
8.217.72.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,4.60
47.242.157.96,2095,2095,false,HKG,Asia Pacific,Hong Kong,74,4.51
47.76.94.15,8443,8443,true,HKG,Asia Pacific,Hong Kong,105,4.34
8.218.174.118,2052,2052,false,HKG,Asia Pacific,Hong Kong,115,4.31
8.218.1.163,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,4.12
