IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,23.15
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,23.13
8.210.48.107,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,23.13
47.243.27.217,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,23.13
47.242.171.94,2096,2096,true,HKG,Asia Pacific,Hong Kong,92,23.08
47.242.252.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,117,23.01
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,22.96
8.218.48.92,2052,2052,false,HKG,Asia Pacific,Hong Kong,47,22.92
8.218.143.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,79,22.86
47.76.192.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,22.82
47.243.206.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,22.82
47.243.18.199,8443,8443,true,HKG,Asia Pacific,Hong Kong,108,22.81
8.210.175.109,2087,2087,true,HKG,Asia Pacific,Hong Kong,95,22.73
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,99,22.73
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,110,22.73
8.210.85.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,22.73
8.210.89.245,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,22.44
47.243.183.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,55,22.28
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,78,22.12
8.217.91.121,8880,8880,false,HKG,Asia Pacific,Hong Kong,90,22.09
8.218.142.253,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,22.03
47.243.86.79,2082,2082,false,HKG,Asia Pacific,Hong Kong,113,21.95
8.210.119.11,2082,2082,false,HKG,Asia Pacific,Hong Kong,90,21.89
8.210.66.190,8443,8443,true,HKG,Asia Pacific,Hong Kong,91,21.88
47.76.192.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,107,21.45
8.217.85.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,121,21.28
47.243.91.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,21.18
47.242.157.96,2095,2095,false,HKG,Asia Pacific,Hong Kong,104,21.01
8.218.48.92,8080,8080,false,HKG,Asia Pacific,Hong Kong,92,20.82
47.242.79.71,2082,2082,false,HKG,Asia Pacific,Hong Kong,105,20.81
47.243.186.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,120,20.62
47.242.36.78,2052,2052,false,HKG,Asia Pacific,Hong Kong,84,20.60
8.217.147.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,117,20.57
8.218.174.118,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,20.51
8.217.250.5,2082,2082,false,HKG,Asia Pacific,Hong Kong,106,20.49
8.218.18.132,80,80,false,HKG,Asia Pacific,Hong Kong,77,20.48
8.217.85.14,2052,2052,false,HKG,Asia Pacific,Hong Kong,75,20.39
8.210.55.134,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,20.33
8.218.142.253,2086,2086,false,HKG,Asia Pacific,Hong Kong,89,20.28
47.243.243.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,60,20.22
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,20.02
47.242.176.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,65,19.95
47.242.202.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,75,19.91
8.218.81.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,77,19.91
8.210.107.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,19.90
8.210.43.213,2096,2096,true,HKG,Asia Pacific,Hong Kong,112,19.84
8.218.3.12,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,19.84
8.217.121.207,8080,8080,false,HKG,Asia Pacific,Hong Kong,68,19.82
47.243.5.154,8443,8443,true,HKG,Asia Pacific,Hong Kong,76,19.80
47.242.234.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,19.66
8.217.127.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,44,19.58
47.243.139.243,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,19.09
47.243.74.220,2086,2086,false,HKG,Asia Pacific,Hong Kong,54,19.07
8.210.101.157,2052,2052,false,HKG,Asia Pacific,Hong Kong,98,18.96
8.217.251.62,2086,2086,false,HKG,Asia Pacific,Hong Kong,48,18.92
47.243.18.199,2053,2053,true,HKG,Asia Pacific,Hong Kong,106,18.80
8.218.18.132,2052,2052,false,HKG,Asia Pacific,Hong Kong,106,18.69
47.242.171.94,8080,8080,false,HKG,Asia Pacific,Hong Kong,97,18.54
47.243.107.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,102,18.54
8.217.251.62,8880,8880,false,HKG,Asia Pacific,Hong Kong,104,18.38
8.218.122.55,2052,2052,false,HKG,Asia Pacific,Hong Kong,106,18.31
47.242.59.216,2095,2095,false,HKG,Asia Pacific,Hong Kong,106,18.24
8.217.121.207,8880,8880,false,HKG,Asia Pacific,Hong Kong,115,18.16
8.210.192.93,2053,2053,true,HKG,Asia Pacific,Hong Kong,107,18.15
140.238.15.251,443,443,true,HKG,Asia Pacific,Hong Kong,144,18.08
8.218.181.189,2095,2095,false,HKG,Asia Pacific,Hong Kong,77,18.03
8.218.1.163,8443,8443,true,HKG,Asia Pacific,Hong Kong,112,17.83
47.243.18.199,2096,2096,true,HKG,Asia Pacific,Hong Kong,105,17.82
47.243.203.119,2096,2096,true,HKG,Asia Pacific,Hong Kong,114,17.70
8.210.34.188,80,80,false,HKG,Asia Pacific,Hong Kong,106,17.58
8.218.53.110,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,17.47
47.243.74.220,8880,8880,false,HKG,Asia Pacific,Hong Kong,109,17.41
47.242.17.250,80,80,false,HKG,Asia Pacific,Hong Kong,55,17.41
8.210.156.6,80,80,false,HKG,Asia Pacific,Hong Kong,101,17.32
47.243.26.83,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,17.30
47.76.49.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,17.23
47.242.155.183,2087,2087,true,HKG,Asia Pacific,Hong Kong,74,17.20
47.243.26.83,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,17.18
8.210.101.157,80,80,false,HKG,Asia Pacific,Hong Kong,63,16.97
47.242.234.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,104,16.94
47.242.59.216,80,80,false,HKG,Asia Pacific,Hong Kong,65,16.90
47.243.255.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,16.85
8.217.149.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,57,16.84
8.217.85.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,95,16.78
47.243.51.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,120,16.77
47.242.7.162,2096,2096,true,HKG,Asia Pacific,Hong Kong,119,16.65
