IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.160.176,8880,8880,false,SIN,Asia Pacific,Singapore,61,14.47
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,64,14.46
8.219.248.47,8443,8443,true,SIN,Asia Pacific,Singapore,143,14.33
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,122,14.33
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,82,14.30
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,115,14.26
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,155,14.25
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,124,14.21
8.219.93.5,2082,2082,false,SIN,Asia Pacific,Singapore,80,14.21
47.236.232.148,8880,8880,false,SIN,Asia Pacific,Singapore,142,14.17
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,131,14.15
8.219.114.201,2086,2086,false,SIN,Asia Pacific,Singapore,91,14.05
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,148,14.01
8.222.137.192,2052,2052,false,SIN,Asia Pacific,Singapore,87,13.97
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,143,13.95
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,101,13.95
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,91,13.86
8.219.0.162,8880,8880,false,SIN,Asia Pacific,Singapore,93,13.83
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,84,13.83
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,157,13.83
47.236.165.25,80,80,false,SIN,Asia Pacific,Singapore,126,13.74
8.219.120.87,2053,2053,true,SIN,Asia Pacific,Singapore,97,13.70
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,127,13.68
47.237.121.38,2086,2086,false,SIN,Asia Pacific,Singapore,98,13.65
8.219.49.65,80,80,false,SIN,Asia Pacific,Singapore,98,13.62
8.222.146.222,2095,2095,false,SIN,Asia Pacific,Singapore,66,13.60
8.219.161.129,2083,2083,true,SIN,Asia Pacific,Singapore,126,13.59
47.236.167.231,2053,2053,true,SIN,Asia Pacific,Singapore,127,13.52
47.236.117.48,2052,2052,false,SIN,Asia Pacific,Singapore,145,13.51
8.219.126.240,8080,8080,false,SIN,Asia Pacific,Singapore,69,13.51
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,82,13.48
47.236.9.152,80,80,false,SIN,Asia Pacific,Singapore,118,13.46
8.219.49.65,8443,8443,true,SIN,Asia Pacific,Singapore,83,13.44
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,145,13.36
8.219.237.250,2095,2095,false,SIN,Asia Pacific,Singapore,126,13.20
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,91,13.19
8.222.167.147,2095,2095,false,SIN,Asia Pacific,Singapore,80,13.15
8.219.117.198,2052,2052,false,SIN,Asia Pacific,Singapore,86,13.13
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,111,13.11
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,217,13.04
47.237.0.31,2052,2052,false,SIN,Asia Pacific,Singapore,91,12.97
47.236.146.249,2052,2052,false,SIN,Asia Pacific,Singapore,131,12.94
8.219.104.37,2082,2082,false,SIN,Asia Pacific,Singapore,73,12.92
8.222.208.38,8880,8880,false,SIN,Asia Pacific,Singapore,83,12.88
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,141,12.86
8.219.78.1,8880,8880,false,SIN,Asia Pacific,Singapore,99,12.86
47.237.121.38,8080,8080,false,SIN,Asia Pacific,Singapore,98,12.85
47.236.170.225,8443,8443,true,SIN,Asia Pacific,Singapore,131,12.74
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,67,12.72
8.219.51.211,8080,8080,false,SIN,Asia Pacific,Singapore,91,12.72
8.219.6.150,2096,2096,true,SIN,Asia Pacific,Singapore,89,12.69
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,145,12.69
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,126,12.68
8.219.177.205,2053,2053,true,SIN,Asia Pacific,Singapore,147,12.67
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,145,12.65
8.219.117.198,80,80,false,SIN,Asia Pacific,Singapore,81,12.52
8.219.87.30,8880,8880,false,SIN,Asia Pacific,Singapore,110,12.52
8.219.49.65,2096,2096,true,SIN,Asia Pacific,Singapore,91,12.49
47.236.125.62,2087,2087,true,SIN,Asia Pacific,Singapore,135,12.42
8.219.4.122,2095,2095,false,SIN,Asia Pacific,Singapore,83,12.42
8.222.164.209,2095,2095,false,SIN,Asia Pacific,Singapore,89,12.42
47.236.130.95,2052,2052,false,SIN,Asia Pacific,Singapore,133,12.41
8.219.126.240,2052,2052,false,SIN,Asia Pacific,Singapore,75,12.30
8.219.0.48,8880,8880,false,SIN,Asia Pacific,Singapore,91,12.30
8.222.237.131,8880,8880,false,SIN,Asia Pacific,Singapore,92,12.23
8.219.40.37,2052,2052,false,SIN,Asia Pacific,Singapore,81,12.21
47.236.144.156,2095,2095,false,SIN,Asia Pacific,Singapore,133,12.21
8.219.78.1,2082,2082,false,SIN,Asia Pacific,Singapore,81,12.09
8.222.187.4,2052,2052,false,SIN,Asia Pacific,Singapore,96,12.09
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,67,12.07
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,132,11.98
8.219.83.201,8880,8880,false,SIN,Asia Pacific,Singapore,68,11.97
8.219.49.65,2095,2095,false,SIN,Asia Pacific,Singapore,72,11.92
47.236.10.182,2096,2096,true,SIN,Asia Pacific,Singapore,147,11.91
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,93,11.81
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,128,11.77
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,147,11.72
47.236.180.24,2096,2096,true,SIN,Asia Pacific,Singapore,134,11.67
47.236.17.193,8080,8080,false,SIN,Asia Pacific,Singapore,141,11.59
8.222.156.242,2087,2087,true,SIN,Asia Pacific,Singapore,66,11.59
8.222.183.242,2083,2083,true,SIN,Asia Pacific,Singapore,81,11.57
8.219.248.47,2087,2087,true,SIN,Asia Pacific,Singapore,129,11.52
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,96,11.52
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,126,11.48
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,139,11.46
47.236.17.193,8880,8880,false,SIN,Asia Pacific,Singapore,124,11.46
8.219.0.48,8080,8080,false,SIN,Asia Pacific,Singapore,107,11.45
8.219.110.81,2095,2095,false,SIN,Asia Pacific,Singapore,75,11.45
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,91,11.41
8.219.86.200,2082,2082,false,SIN,Asia Pacific,Singapore,100,11.38
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,130,11.33
8.219.60.54,2082,2082,false,SIN,Asia Pacific,Singapore,73,11.28
8.222.137.192,2082,2082,false,SIN,Asia Pacific,Singapore,79,11.26
8.222.136.247,2052,2052,false,SIN,Asia Pacific,Singapore,71,11.22
47.236.167.231,8443,8443,true,SIN,Asia Pacific,Singapore,128,11.20
8.222.208.38,8443,8443,true,SIN,Asia Pacific,Singapore,73,11.20
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,109,11.16
8.219.120.87,8080,8080,false,SIN,Asia Pacific,Singapore,96,11.14
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,82,11.13
47.237.86.185,80,80,false,SIN,Asia Pacific,Singapore,89,11.10
47.237.95.140,2086,2086,false,SIN,Asia Pacific,Singapore,101,11.10
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,142,11.09
47.236.102.102,2096,2096,true,SIN,Asia Pacific,Singapore,127,11.03
47.236.164.215,2087,2087,true,SIN,Asia Pacific,Singapore,127,11.02
8.219.191.110,2087,2087,true,SIN,Asia Pacific,Singapore,118,10.93
8.219.4.122,80,80,false,SIN,Asia Pacific,Singapore,95,10.82
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,125,10.78
8.219.107.135,2095,2095,false,SIN,Asia Pacific,Singapore,91,10.77
8.219.6.150,2095,2095,false,SIN,Asia Pacific,Singapore,85,10.73
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,143,10.65
8.222.249.190,2082,2082,false,SIN,Asia Pacific,Singapore,81,10.63
8.219.99.169,2082,2082,false,SIN,Asia Pacific,Singapore,109,10.60
8.219.177.205,2086,2086,false,SIN,Asia Pacific,Singapore,128,10.58
8.219.0.162,2095,2095,false,SIN,Asia Pacific,Singapore,68,10.57
47.237.125.8,2086,2086,false,SIN,Asia Pacific,Singapore,99,10.54
47.236.121.23,8080,8080,false,SIN,Asia Pacific,Singapore,128,10.50
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,133,10.47
8.219.4.122,2082,2082,false,SIN,Asia Pacific,Singapore,82,10.46
8.219.50.180,2086,2086,false,SIN,Asia Pacific,Singapore,97,10.43
47.236.180.24,2086,2086,false,SIN,Asia Pacific,Singapore,128,10.42
47.236.75.152,8880,8880,false,SIN,Asia Pacific,Singapore,136,10.32
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,196,10.27
8.222.137.192,2087,2087,true,SIN,Asia Pacific,Singapore,82,10.26
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,75,10.22
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,83,10.21
47.236.9.152,2086,2086,false,SIN,Asia Pacific,Singapore,138,10.19
8.222.169.222,2096,2096,true,SIN,Asia Pacific,Singapore,80,10.17
8.219.6.150,2087,2087,true,SIN,Asia Pacific,Singapore,68,10.11
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,132,10.07
47.236.170.54,80,80,false,SIN,Asia Pacific,Singapore,131,10.01
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,129,10.00
47.237.81.112,2086,2086,false,SIN,Asia Pacific,Singapore,107,9.93
47.236.172.95,2086,2086,false,SIN,Asia Pacific,Singapore,147,9.93
8.219.50.180,2082,2082,false,SIN,Asia Pacific,Singapore,95,9.92
8.222.134.170,8080,8080,false,SIN,Asia Pacific,Singapore,117,9.92
8.222.137.192,80,80,false,SIN,Asia Pacific,Singapore,84,9.87
